HUPAC,WIF,WKHP,WKW,ENG,FER,NWLA,NWLK,OCCP,POBP,RELP,WRK,DIS,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,PUBCOV,target,domain
1,1,0,0,2,2,1,1,18,9,1,2,1,3,0,1,1,1,1,1,1,5
3,1,4,1,0,0,2,2,27,11,2,1,1,3,0,0,1,1,1,1,0,1
1,2,3,6,4,0,1,2,21,28,15,2,0,3,0,1,0,1,1,0,0,9
3,0,0,0,0,0,1,1,10,24,0,2,1,3,2,0,1,1,1,0,0,7
1,3,3,1,0,2,2,2,20,3,0,1,1,3,0,0,1,1,1,1,0,7
2,2,4,1,3,0,2,2,1,8,0,1,1,3,0,1,1,1,1,0,1,2
3,1,1,2,0,2,2,2,6,16,7,1,1,3,0,0,1,1,1,1,0,9
2,1,0,0,1,2,1,1,18,44,1,2,1,3,0,0,1,1,1,1,0,3
3,1,0,0,0,2,1,1,18,21,2,2,1,3,3,0,1,1,1,1,0,3
3,0,2,1,0,2,2,2,13,42,0,1,1,3,0,0,1,1,1,0,1,2
1,2,0,0,1,0,2,2,18,4,5,0,1,3,3,1,1,1,1,1,0,9
3,1,2,6,0,0,1,1,6,3,0,2,0,3,0,0,1,1,1,1,0,7
3,2,1,1,0,2,2,2,20,44,2,1,1,3,1,0,1,1,1,0,0,3
3,1,3,1,0,0,2,2,20,54,2,1,1,3,0,0,1,1,1,1,0,7
2,2,4,1,4,2,2,2,5,9,1,1,1,3,0,1,1,1,1,1,1,7
3,0,4,6,0,0,2,2,6,46,0,1,1,3,1,0,1,1,1,1,0,9
3,2,0,0,0,2,1,1,13,20,1,2,1,3,1,0,1,1,1,1,0,3
2,1,0,0,0,1,1,1,25,51,0,2,1,3,1,0,1,1,1,1,0,4
3,0,4,1,0,0,2,2,22,42,0,1,1,3,1,0,1,1,1,1,0,5
3,2,4,1,0,2,2,2,13,47,0,1,1,3,1,0,1,1,1,1,0,2
3,0,4,1,0,0,2,2,0,15,0,1,1,3,0,0,1,1,1,1,1,5
3,1,4,1,1,0,2,2,5,28,0,1,1,3,0,1,1,1,1,1,0,7
3,2,5,1,0,0,2,2,15,31,1,1,1,3,1,0,1,1,1,1,0,4
1,1,0,0,2,2,1,1,18,28,1,2,1,3,0,1,1,1,1,1,0,7
3,0,0,0,0,0,1,1,18,29,0,2,0,3,1,0,0,0,0,0,1,3
3,3,2,1,0,2,2,2,20,42,2,1,0,3,1,0,1,1,0,0,0,2
2,2,4,1,0,0,2,2,4,61,1,1,1,3,3,0,1,1,1,0,1,5
3,3,3,1,0,2,2,2,22,47,2,0,1,3,3,0,1,1,1,1,0,2
1,1,0,0,3,2,1,1,18,28,13,2,1,3,0,1,1,1,1,1,0,5
0,0,0,0,0,1,1,1,16,25,0,2,1,3,0,0,1,1,1,1,0,5
3,0,5,1,0,0,2,2,16,46,0,1,1,3,3,0,1,1,1,1,0,9
3,0,3,1,0,0,2,2,25,31,13,1,1,3,2,0,1,1,1,1,0,4
2,2,3,1,0,2,2,2,20,42,1,0,1,3,0,0,1,1,1,1,0,2
3,0,0,0,0,2,1,1,18,20,0,2,0,3,2,0,1,1,1,0,1,3
1,3,2,4,0,0,2,2,4,15,2,1,1,3,3,0,1,1,1,0,0,5
1,2,2,6,0,0,2,2,13,54,0,1,1,3,3,0,1,1,1,1,1,7
0,3,4,1,0,0,2,2,21,59,4,1,1,3,1,0,1,1,1,1,0,9
1,1,0,0,0,2,1,1,16,35,1,2,1,3,3,0,1,1,1,1,0,5
3,0,2,1,0,0,2,2,27,6,0,1,1,3,0,0,1,1,1,0,0,9
1,2,2,1,0,2,2,2,25,6,1,1,1,3,1,0,1,1,1,1,0,9
1,2,4,1,0,2,2,2,16,17,1,1,1,3,1,0,1,1,1,1,0,9
1,2,4,1,0,0,1,1,4,35,0,1,1,3,2,0,1,1,1,1,0,5
3,2,4,1,0,0,1,2,8,30,0,2,1,2,1,0,1,1,1,1,0,3
1,0,0,0,0,2,1,1,18,47,0,2,1,3,3,0,1,1,1,0,0,2
3,3,3,1,0,0,2,2,25,26,2,1,1,3,1,0,1,1,1,1,0,5
3,2,4,1,0,2,2,2,13,19,0,1,1,3,3,0,1,1,1,1,0,8
3,2,3,4,2,2,2,2,15,8,1,1,1,3,0,1,1,1,1,1,0,5
3,2,8,1,0,0,2,2,16,60,0,1,1,3,1,0,1,1,1,1,0,3
3,2,3,3,2,2,1,2,20,14,0,1,1,3,0,1,1,1,1,1,0,8
3,2,4,1,0,2,2,2,20,35,5,1,1,3,0,0,1,1,1,1,0,5
3,1,3,1,0,0,2,2,20,60,1,1,1,3,0,0,1,1,1,1,0,3
3,0,4,5,0,0,2,2,22,11,0,0,1,3,3,0,1,1,1,0,0,1
3,1,0,0,0,2,1,1,18,46,13,2,0,3,2,0,1,1,1,0,0,9
0,1,4,6,0,1,1,0,25,54,13,2,1,3,0,0,1,1,1,1,0,4
0,3,3,6,0,2,2,2,5,29,4,1,1,3,3,0,1,1,1,1,0,3
0,2,2,1,2,2,2,2,20,4,1,1,1,3,0,1,1,1,1,1,0,7
3,3,2,1,1,2,2,2,8,6,2,1,1,3,0,0,1,1,1,0,0,9
3,2,2,1,0,0,2,2,0,42,0,1,1,3,0,0,1,1,1,1,0,2
3,3,2,1,1,0,2,2,27,6,10,1,1,3,1,0,1,1,1,0,0,9
3,0,0,0,0,0,1,1,18,42,11,2,1,3,3,0,1,1,1,0,0,2
3,0,0,6,0,2,1,0,5,6,12,2,0,3,0,0,1,1,0,0,1,9
3,3,5,1,3,2,2,2,6,47,2,0,0,3,3,0,1,1,0,1,0,2
2,2,4,6,1,2,1,0,20,52,1,2,1,3,0,1,1,1,1,1,1,5
3,0,0,0,0,2,1,1,6,33,0,2,1,3,0,0,1,1,1,1,0,7
3,1,0,2,0,0,2,2,4,31,2,2,0,3,3,0,0,1,1,0,0,8
3,3,2,1,1,0,2,2,16,4,0,1,1,3,1,1,1,1,1,1,0,9
3,0,2,1,0,2,2,2,5,47,13,0,1,3,3,0,1,1,1,1,0,5
3,2,3,3,0,2,2,2,25,29,0,1,1,3,0,0,1,1,1,1,0,3
0,3,4,5,1,0,1,0,27,5,5,2,1,3,0,0,1,1,1,1,1,8
3,0,4,1,0,2,1,1,16,15,0,1,1,3,0,0,1,1,1,1,0,5
1,3,2,5,0,2,2,2,5,54,2,1,1,3,1,0,1,1,1,0,1,7
2,3,3,1,2,0,2,2,27,32,2,1,1,3,0,0,1,1,1,1,1,4
1,3,3,1,0,2,2,2,22,15,15,0,1,3,3,0,1,1,1,1,0,5
1,3,4,5,0,0,2,2,24,13,9,1,1,3,1,0,1,1,1,0,0,5
3,3,2,5,0,0,1,0,25,26,2,2,0,3,1,0,1,1,0,1,0,5
3,0,4,1,0,0,2,2,27,47,0,1,1,3,3,0,1,1,1,0,1,2
3,1,2,6,0,0,2,2,1,25,2,0,1,3,3,0,1,1,1,0,0,1
0,1,4,4,0,1,1,1,22,57,0,2,1,3,0,0,1,1,1,1,0,5
3,2,3,1,0,0,2,2,25,62,0,1,1,3,1,0,1,1,1,1,0,8
3,1,0,0,1,2,1,1,5,41,0,2,1,3,0,0,1,1,1,1,0,8
1,2,4,1,0,2,2,2,25,35,0,1,1,3,0,0,1,1,1,1,1,5
2,2,4,4,0,1,1,1,20,49,1,1,1,3,1,0,1,1,1,1,0,1
3,0,0,0,0,0,1,1,18,20,0,2,1,3,0,0,1,1,1,1,0,5
3,2,0,0,3,0,2,2,18,28,5,0,1,3,3,1,1,1,1,1,0,9
3,1,0,0,0,0,1,1,18,54,0,2,1,3,0,0,1,1,1,1,0,7
1,1,1,3,2,2,2,2,5,41,15,1,1,3,3,0,1,1,1,1,0,9
3,0,4,5,0,2,2,2,20,37,13,1,1,3,0,0,1,1,1,1,0,4
0,3,3,6,0,2,1,1,6,29,1,2,1,3,1,0,1,1,1,1,0,3
1,2,0,0,4,2,1,1,18,28,1,2,1,3,0,1,1,1,1,1,0,9
0,1,0,0,0,2,2,2,6,31,1,0,1,3,3,0,1,1,1,1,0,4
2,2,0,0,1,2,2,2,28,15,2,0,0,3,3,0,1,1,0,1,1,5
1,1,0,0,0,2,1,1,18,59,0,2,1,3,0,0,1,1,1,1,0,7
3,1,0,0,0,0,1,1,18,23,1,2,1,3,0,0,1,1,1,1,0,3
0,1,4,1,0,2,2,2,15,21,0,1,1,3,1,0,1,1,1,1,0,3
3,1,4,1,2,0,2,2,24,48,0,0,0,3,0,0,1,1,1,1,0,0
3,1,0,0,0,1,1,1,5,54,4,2,1,3,0,0,1,1,1,0,1,7
1,2,4,1,0,0,2,2,4,13,1,1,0,1,1,0,1,1,1,1,0,5
1,2,2,6,0,2,2,2,22,8,2,1,1,3,0,1,1,1,1,0,0,1
3,3,5,1,0,0,2,2,4,59,1,1,0,3,0,0,1,0,1,1,0,8
0,1,4,1,0,0,2,2,24,20,0,1,1,3,0,0,1,1,1,1,0,8
1,3,0,0,0,0,1,0,28,57,4,2,1,3,0,0,1,1,1,1,0,5
3,0,2,6,0,0,1,1,15,54,0,2,1,3,1,0,1,1,1,1,0,7
1,0,0,0,0,0,1,1,18,26,1,2,1,1,0,0,1,1,1,0,0,8
3,2,8,3,2,0,2,2,10,47,0,1,1,3,0,0,1,1,1,1,0,2
3,0,0,0,0,0,1,1,18,32,2,2,0,3,2,0,1,1,0,1,0,4
3,2,2,1,0,0,1,1,15,11,0,1,1,3,1,0,1,1,1,1,1,1
3,2,4,1,0,0,2,2,4,42,2,1,1,3,1,0,1,1,1,1,0,2
3,0,4,1,0,0,2,2,24,21,0,1,1,3,2,0,1,1,1,1,0,3
1,2,2,1,1,0,2,2,5,4,2,0,1,3,3,1,1,1,1,0,0,7
1,3,3,3,0,0,2,2,6,31,1,1,1,3,1,0,1,1,1,1,0,4
3,1,0,0,0,2,1,1,18,6,0,2,1,3,3,0,1,1,1,0,0,9
3,2,4,5,1,0,2,2,20,42,2,1,1,3,0,0,1,1,1,1,1,7
1,1,2,6,0,0,1,0,4,39,7,2,1,3,0,0,1,1,1,1,0,2
3,1,0,0,0,2,2,2,18,44,2,0,0,3,3,0,1,0,0,1,0,3
3,0,0,0,0,1,1,1,18,35,6,2,1,3,3,0,1,1,1,0,1,5
1,2,1,1,0,0,2,2,13,52,6,1,1,3,0,1,1,1,1,0,0,2
3,1,8,1,0,0,2,2,16,45,0,1,1,3,0,0,1,1,1,1,0,7
0,0,0,0,0,0,1,0,17,54,0,2,1,1,0,0,1,1,1,1,0,1
1,1,0,0,1,2,2,2,6,28,0,0,1,3,3,1,1,1,1,1,0,7
3,0,0,0,0,0,2,2,18,42,0,0,1,3,2,0,1,1,1,0,0,2
3,0,0,0,0,0,1,1,1,49,0,2,0,3,0,0,1,1,1,0,1,1
3,0,0,0,0,0,1,1,18,35,0,2,1,3,0,0,1,1,1,0,0,5
3,3,2,6,0,2,2,2,5,6,2,1,1,3,0,0,1,1,1,1,0,9
2,2,3,5,0,2,1,1,20,47,0,2,1,3,2,0,1,1,1,1,0,2
1,3,0,0,1,2,1,1,18,6,1,2,1,3,0,0,1,1,1,1,0,9
3,3,4,1,0,2,2,2,20,50,2,1,1,3,0,0,1,1,1,1,0,5
1,1,4,1,2,0,2,2,4,28,0,1,1,3,0,1,1,1,1,1,0,9
3,1,0,0,0,0,1,1,27,16,2,2,1,3,0,0,1,1,1,1,1,5
2,2,2,4,0,2,2,2,16,54,1,0,1,3,3,0,1,1,1,1,0,5
0,1,3,1,0,2,2,2,16,44,13,1,1,3,3,0,1,1,1,0,1,3
3,2,3,6,0,0,1,1,1,42,1,2,1,3,1,0,1,1,1,1,1,2
3,1,0,0,0,0,1,1,18,23,1,2,1,3,0,0,1,1,1,1,0,5
2,3,1,5,0,1,1,2,6,47,1,2,1,3,1,0,1,1,1,1,0,4
3,0,0,0,1,0,2,1,18,54,0,2,0,3,0,0,1,0,1,1,0,7
1,1,0,0,0,0,1,1,18,16,0,2,0,3,1,0,1,1,0,0,0,5
1,3,4,1,0,2,2,2,16,60,15,1,1,3,3,0,1,1,1,1,0,8
3,3,4,1,1,0,2,2,27,6,2,1,1,3,0,0,1,1,1,1,0,9
0,0,0,0,0,2,1,1,20,13,0,2,1,3,0,0,1,1,1,1,0,5
1,2,4,4,3,2,2,2,20,52,1,1,1,3,0,1,1,1,1,1,0,5
3,0,0,0,0,0,1,1,18,50,1,2,1,3,0,0,1,1,1,1,0,5
2,1,0,0,1,0,1,1,18,8,0,2,1,3,1,0,1,1,1,1,0,5
1,2,1,1,1,2,2,2,10,21,0,1,0,3,1,0,1,1,0,0,1,3
3,0,0,0,0,0,1,1,18,61,2,2,0,3,0,0,1,1,1,0,0,5
1,3,4,1,0,0,2,2,20,14,10,1,1,3,0,1,1,1,1,1,0,8
1,1,0,0,0,2,1,1,18,20,1,2,0,3,3,0,1,1,1,1,1,3
3,0,0,0,2,0,1,1,27,14,0,2,1,3,0,1,1,1,1,0,1,7
3,3,5,5,0,0,2,2,20,46,2,1,1,3,0,0,1,1,1,1,0,8
0,1,2,4,0,2,1,0,21,20,0,2,1,3,1,0,1,1,1,0,1,3
1,2,4,1,0,2,2,2,20,44,0,1,1,3,0,0,1,1,1,1,0,3
0,2,2,6,0,1,2,2,5,54,4,1,1,3,1,0,1,1,1,0,0,7
3,2,3,1,0,0,2,2,25,50,13,0,1,3,3,0,1,1,1,1,0,5
1,2,0,0,4,2,1,1,18,28,0,2,1,3,0,1,1,1,1,1,0,7
1,1,4,1,0,0,2,2,4,6,0,1,1,3,0,0,1,1,1,1,0,9
3,1,0,0,0,0,1,1,18,6,1,2,1,3,0,0,1,1,1,1,0,9
1,3,4,1,0,0,2,2,4,42,2,1,1,3,1,0,1,1,1,0,0,2
3,3,3,1,1,0,1,1,4,20,2,1,1,3,0,0,1,1,1,1,0,3
3,2,2,6,0,2,1,0,13,29,0,2,0,3,0,0,1,1,0,1,0,5
3,1,0,0,0,2,1,1,18,50,14,0,1,3,0,0,1,1,1,0,1,5
3,2,2,1,0,0,2,2,14,42,2,1,1,3,1,0,1,1,1,1,0,2
3,2,2,6,0,0,1,0,1,32,2,0,1,3,0,0,1,1,1,1,0,4
3,3,3,1,0,0,2,2,4,46,2,1,1,3,0,0,1,1,1,0,0,9
3,2,4,1,0,2,2,2,20,15,0,1,1,3,1,0,1,1,1,1,0,5
3,2,2,4,2,2,1,1,1,28,1,1,1,3,0,1,1,1,1,1,0,9
3,0,4,1,0,2,2,2,21,21,0,1,1,3,0,0,1,1,1,1,0,3
3,1,1,4,0,2,1,2,22,20,0,2,1,3,1,0,1,1,1,1,0,8
0,2,2,1,1,1,2,2,15,4,1,1,1,3,0,1,1,1,1,1,0,9
3,0,0,0,2,0,1,0,28,42,0,2,0,3,1,0,1,1,0,0,1,2
3,2,4,3,0,0,2,2,21,20,1,1,1,3,0,0,1,1,1,1,0,4
3,0,0,0,0,0,1,1,18,33,13,2,0,1,0,0,0,1,1,0,1,3
3,2,4,6,0,0,1,1,5,4,0,2,1,3,0,1,1,1,1,1,0,9
3,0,3,4,0,0,1,1,23,6,0,2,1,1,0,0,1,1,1,0,1,9
1,1,0,0,0,0,1,1,18,44,1,2,1,3,3,0,1,1,1,0,1,3
3,0,4,2,0,0,2,2,5,6,13,1,1,3,3,0,1,1,1,1,0,9
2,1,0,0,1,1,1,1,18,4,1,2,1,3,0,1,1,1,1,1,0,9
0,2,3,4,1,0,2,2,20,54,0,1,1,3,0,0,1,1,1,1,0,7
3,2,2,6,0,2,1,1,1,42,1,2,0,3,1,0,1,1,0,0,1,2
1,3,4,1,0,0,2,2,0,10,2,1,1,3,1,0,1,1,1,1,0,8
3,1,0,0,0,2,1,0,28,35,2,2,1,3,1,0,1,1,1,0,1,5
3,2,2,2,1,0,1,2,1,4,1,2,1,3,0,1,1,1,1,0,0,5
3,0,5,1,0,2,2,2,6,39,0,1,1,3,1,0,1,1,1,1,0,2
3,0,0,0,0,0,1,1,18,61,2,2,0,3,0,0,0,1,1,0,0,5
1,3,4,1,0,0,2,2,21,54,2,1,1,3,3,0,1,1,1,1,0,7
2,3,0,0,0,2,1,1,18,59,4,2,1,3,0,0,1,1,1,1,0,9
2,1,3,2,0,0,2,2,5,5,13,2,1,3,0,0,1,1,1,1,1,3
3,0,0,0,4,0,1,1,18,48,0,2,1,3,0,0,1,1,1,0,1,0
3,0,0,0,2,0,1,2,18,29,0,2,1,3,0,0,1,1,1,0,1,3
3,2,6,1,0,0,2,2,27,3,0,1,1,3,3,0,1,1,1,1,0,4
3,3,3,1,0,2,2,2,13,20,2,1,1,3,1,0,1,1,1,1,0,3
3,3,4,1,0,2,2,2,20,35,2,1,1,3,0,0,1,1,1,1,0,5
3,0,4,1,0,0,2,2,21,6,0,1,1,0,0,0,1,1,1,1,0,9
3,0,4,1,0,0,2,2,20,42,0,1,1,3,0,0,1,1,1,1,0,2
3,3,3,1,1,2,2,2,5,20,2,1,1,3,1,0,1,1,1,1,1,2
1,2,4,1,0,0,2,2,25,60,0,1,1,3,1,0,1,1,1,1,0,3
3,2,1,6,0,0,1,0,4,5,2,2,1,3,3,0,1,1,1,1,0,8
3,2,3,3,0,2,2,2,6,31,1,1,1,3,0,0,1,1,1,1,0,4
3,3,3,2,0,0,2,2,0,25,1,1,1,3,0,0,1,1,1,1,0,1
3,0,3,3,0,2,2,2,15,31,0,1,1,3,1,0,1,1,1,1,0,4
1,1,0,0,0,2,1,1,18,20,2,2,1,3,0,0,1,1,1,1,0,3
1,2,2,4,0,2,1,1,6,47,1,1,1,3,0,0,1,1,1,1,0,2
3,3,4,5,0,0,2,2,21,60,2,1,1,3,3,0,1,1,1,1,0,3
2,1,6,1,0,0,2,2,25,15,0,1,1,3,0,0,1,1,1,1,0,5
1,2,4,1,0,2,2,2,3,16,15,1,1,3,0,0,1,1,1,1,0,5
3,0,0,0,0,2,1,1,13,23,0,2,1,3,0,0,1,1,1,1,0,3
1,2,4,3,1,2,2,2,15,6,2,1,1,3,1,0,1,1,1,1,0,9
1,2,2,6,1,2,1,1,27,52,1,2,1,3,0,1,1,1,1,0,0,3
1,3,3,4,1,0,1,1,6,40,2,2,1,3,0,0,1,1,1,1,0,8
3,0,4,5,0,0,2,2,7,29,0,1,1,3,0,0,1,1,1,1,0,3
3,3,0,0,0,2,1,1,18,47,2,2,1,3,3,0,1,1,1,1,0,2
3,0,4,1,0,0,2,2,5,43,13,1,1,3,0,1,1,1,1,1,0,4
3,0,0,0,0,2,1,1,6,54,0,2,1,3,1,0,1,1,1,1,0,7
3,0,0,0,0,0,1,0,15,25,0,2,1,3,1,0,1,1,1,1,0,1
0,1,3,2,1,2,2,2,1,28,0,1,1,3,0,1,1,1,1,1,0,7
3,1,4,1,0,0,2,2,21,47,2,1,1,3,0,0,1,1,1,1,0,7
3,0,3,1,1,0,2,2,5,54,12,1,1,3,0,0,1,1,1,1,0,7
1,3,3,1,1,2,2,2,25,20,2,0,1,3,3,0,1,1,1,1,1,3
3,3,2,3,0,2,2,2,3,39,2,1,1,3,0,0,1,1,1,1,0,2
3,0,4,1,0,0,2,2,10,54,0,0,1,3,3,0,1,1,1,1,0,7
3,0,4,3,3,0,2,2,6,4,0,1,1,3,0,1,1,1,1,1,0,2
3,1,0,0,0,0,1,1,18,6,0,2,1,3,0,0,1,1,1,1,0,8
2,3,2,4,0,2,2,2,5,35,2,1,1,3,0,0,1,1,1,1,0,5
0,2,5,5,0,0,2,2,25,29,1,1,1,3,0,0,1,1,1,1,0,5
3,1,0,0,0,0,1,0,1,29,2,2,1,3,3,0,1,1,1,1,0,3
3,1,5,6,0,0,1,1,16,24,2,2,1,3,0,0,1,1,1,1,0,7
0,1,2,4,0,1,1,0,5,32,0,2,1,3,1,0,1,1,1,0,1,3
3,2,2,4,2,2,2,2,13,29,2,0,1,3,3,0,1,1,1,1,0,2
3,2,4,1,0,0,2,2,20,22,1,1,1,3,0,0,1,1,1,1,0,4
1,2,4,1,0,0,2,2,13,54,5,1,1,3,0,0,1,1,1,1,0,7
3,0,5,6,0,0,2,2,6,6,0,1,1,3,0,0,1,1,1,1,0,3
3,0,0,0,1,2,1,1,6,28,12,2,1,3,0,1,1,1,1,1,0,9
2,1,0,0,0,2,1,1,18,42,0,2,1,3,1,0,1,1,1,1,0,2
3,0,2,1,0,0,2,2,5,6,0,1,1,3,1,0,1,1,1,0,0,9
3,3,4,1,0,0,1,1,5,54,4,1,1,3,0,0,1,1,1,1,0,7
0,1,0,0,1,2,1,0,25,16,13,2,1,3,0,0,1,1,1,0,0,5
3,2,4,1,0,0,2,2,25,54,2,1,1,3,3,0,1,1,1,1,0,7
3,2,6,3,0,0,1,0,21,29,1,2,1,3,1,0,1,1,1,1,0,3
3,2,2,1,1,2,2,2,20,4,0,1,1,1,3,1,1,1,1,1,0,3
2,2,2,1,0,2,2,2,6,57,0,1,1,3,1,0,1,1,1,1,0,5
3,1,0,0,0,0,1,1,18,47,1,2,1,3,1,0,1,1,1,0,0,2
2,2,2,1,2,2,2,2,6,28,1,1,1,3,0,1,1,1,1,1,1,7
3,0,2,1,0,2,2,2,22,12,13,1,1,3,1,0,1,1,1,1,0,5
3,0,5,2,3,0,2,2,4,28,0,1,1,3,0,1,1,1,1,1,0,7
3,0,0,0,0,0,1,1,18,11,2,2,1,3,0,0,1,1,1,0,0,1
3,3,4,1,0,0,2,2,24,20,1,0,1,3,3,0,1,1,1,1,0,3
1,2,4,1,3,2,2,2,27,28,1,1,1,3,0,1,1,1,1,1,0,7
3,3,4,3,3,0,2,2,22,4,0,1,1,3,0,1,1,1,1,0,0,5
1,1,4,1,0,2,2,2,20,24,0,1,1,3,0,0,1,1,1,1,0,7
3,2,1,4,0,0,2,2,23,6,2,1,1,3,1,0,1,1,1,1,0,9
3,0,0,0,1,0,1,1,18,17,0,2,0,3,1,0,1,1,0,0,0,9
0,2,4,6,1,0,2,2,3,0,1,1,1,3,0,1,1,1,1,1,0,2
0,1,0,0,3,2,1,1,18,30,1,2,1,3,0,1,1,1,1,0,1,7
3,2,4,1,1,0,2,2,27,28,2,1,1,3,0,1,1,1,1,0,0,8
3,2,4,3,1,2,1,0,25,4,1,2,1,3,0,1,1,1,1,1,0,7
3,2,1,5,1,2,2,2,25,8,2,1,1,3,0,1,1,1,1,1,1,5
1,2,1,5,0,0,1,0,22,39,4,2,1,3,1,0,1,1,1,1,0,2
1,1,4,1,0,0,2,2,4,39,13,1,1,3,0,0,1,1,1,1,0,2
3,3,2,1,0,2,2,2,25,60,2,1,1,3,1,0,1,1,1,1,0,3
3,0,4,1,0,2,2,2,6,24,0,1,1,3,1,0,1,1,1,1,0,7
3,0,2,6,0,2,1,0,4,51,0,2,1,1,1,0,1,1,1,0,1,9
3,2,2,4,0,0,2,2,25,15,1,1,1,3,0,0,1,1,1,1,0,5
1,1,0,0,4,0,1,1,18,48,2,2,1,3,0,0,1,1,1,1,0,0
0,3,4,4,0,0,2,2,20,36,8,1,1,3,1,0,1,1,1,1,0,4
1,3,1,1,0,2,2,2,13,23,0,1,1,3,0,0,1,1,1,1,1,3
1,2,4,1,2,2,2,2,15,4,0,1,1,3,0,1,1,1,1,1,0,9
3,2,0,0,0,0,1,1,18,34,2,2,1,3,1,0,1,1,1,1,0,8
3,2,5,4,0,0,2,0,5,44,2,2,1,3,0,0,1,1,1,1,0,3
3,3,0,1,0,0,2,2,5,19,2,1,0,3,0,0,1,1,0,1,1,7
3,1,1,5,1,0,2,2,3,41,7,1,1,3,0,0,1,1,1,1,0,8
3,1,3,3,0,0,2,2,13,20,0,1,1,3,1,0,1,1,1,0,0,4
3,0,2,2,0,0,2,2,25,6,12,1,1,3,3,0,1,1,1,1,0,9
3,1,0,0,2,2,1,0,18,54,2,2,1,3,0,0,1,1,1,1,0,7
3,0,3,6,0,2,1,0,13,6,12,2,1,3,0,0,1,1,1,0,0,9
3,0,0,0,0,0,1,1,18,42,1,0,1,3,0,0,1,1,1,1,0,2
3,0,1,4,0,0,2,2,1,6,12,1,1,3,1,0,1,1,1,0,1,9
1,2,4,1,0,2,2,2,3,10,0,1,0,3,0,0,1,1,0,1,0,7
1,0,0,0,0,2,1,1,18,50,2,2,1,3,0,0,1,1,1,1,0,5
1,0,4,1,1,2,2,2,13,5,0,1,1,3,0,0,1,1,1,1,0,8
1,3,3,1,0,2,1,2,25,39,0,1,1,3,1,0,1,1,1,1,0,5
3,0,0,0,0,0,2,2,18,28,1,0,0,3,3,1,1,0,1,0,1,9
